orbit_id,tier,start_n,status,odd_steps_to_1,terminal_or_cap_state,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_critical_break_type,count_U1,count_F2,count_F3,count_F4P,fraction_mod8_1,fraction_mod8_3,fraction_mod8_5,fraction_mod8_7,max_cum_reset_deficit,min_cum_reset_deficit,final_cum_reset_deficit,max_cum_best_hidden_deficit,final_cum_best_hidden_deficit,height_cocycle_sum,height_cocycle_endpoint_log2,height_cocycle_error,critical_windows_L8,critical_windows_L16,critical_windows_L32,critical_windows_L64,alphabet_windows_L8,alphabet_windows_L16,alphabet_windows_L32,alphabet_windows_L64
C_00001,TIER_C_RANDOM_1E12,116199234855,REACHED_1,101,1,294129313229,5,9,5,CRITICAL_FORBIDDEN_GRAMMAR,50,27,11,13,0.26732673267326734,0.2079207920792079,0.2376237623762376,0.2871287128712871,169.79505780712657,0.0,165.7771358991293,267.7046279699838,267.2192011428136,-36.7578096127226,-36.7578096127226,0.0,0,0,0,0,2,0,0,0
C_00002,TIER_C_RANDOM_1E12,628163873855,REACHED_1,95,1,4770119417093,5,14,6,CRITICAL_FORBIDDEN_GRAMMAR,47,25,11,12,0.2631578947368421,0.22105263157894736,0.24210526315789474,0.2736842105263158,151.1356798275901,0.0,147.11775791959283,243.94173205992846,243.4563052327582,-39.19235001873286,-39.19235001873286,0.0,0,0,0,0,10,0,0,0
C_00003,TIER_C_RANDOM_1E12,771105197167,REACHED_1,127,1,4168669810877,5,14,8,CRITICAL_FORBIDDEN_GRAMMAR,62,36,18,11,0.28346456692913385,0.25196850393700787,0.2283464566929134,0.23622047244094488,202.88342812116105,0.0,198.86550621316377,340.68693914225446,340.20151231508424,-39.48813673539069,-39.48813673539069,0.0,1,0,0,0,15,0,0,0
C_00004,TIER_C_RANDOM_1E12,155856719307,REACHED_1,54,1,233785078961,6,9,5,DEEP_FOLD,22,13,10,9,0.24074074074074073,0.2222222222222222,0.35185185185185186,0.18518518518518517,62.89887531450274,0.0,59.15164945110244,130.24155721174708,130.24155721174708,-37.18142939764581,-37.18142939764581,0.0,0,0,0,0,2,0,0,0
C_00005,TIER_C_RANDOM_1E12,292074158257,REACHED_1,66,1,292074158257,7,9,5,DEEP_FOLD,33,14,11,8,0.21212121212121213,0.2727272727272727,0.2878787878787879,0.22727272727272727,97.10163834353372,-2.905262495081299,95.03124901564232,167.07132078468257,167.07132078468257,-38.08754376275071,-38.08754376275071,0.0,0,0,0,0,2,0,0,0
C_00006,TIER_C_RANDOM_1E12,690119245683,REACHED_1,69,1,1035178868525,4,8,6,DEEP_FOLD,27,18,15,9,0.2608695652173913,0.2608695652173913,0.34782608695652173,0.13043478260869565,69.84732981334723,-1.0751874964199288,67.77694048545582,153.79633599776986,153.79633599776986,-39.32805471042234,-39.32805471042234,0.0,0,0,0,0,1,0,0,0
C_00007,TIER_C_RANDOM_1E12,256087806531,REACHED_1,111,1,384131709797,8,10,6,DEEP_FOLD,62,19,15,15,0.17117117117117117,0.26126126126126126,0.2702702702702703,0.2972972972972973,209.6240548217757,-1.9052624965525382,205.60613291377842,330.52149134537615,330.03606451820593,-37.89784760526312,-37.897847605263124,7.105427357601002e-15,0,0,0,0,12,0,0,0
C_00008,TIER_C_RANDOM_1E12,541783974485,REACHED_1,80,1,541783974485,5,14,7,DEEP_FOLD,37,24,10,9,0.3,0.25,0.2375,0.2125,108.38529809591846,-5.415037499280622,104.3673761879212,190.18557850033045,189.7001516731602,-38.97892676422423,-38.97892676422423,0.0,0,0,0,0,10,0,0,0
C_00009,TIER_C_RANDOM_1E12,708728066997,REACHED_1,47,1,708728066997,4,5,3,DEEP_FOLD,19,11,5,12,0.23404255319148937,0.23404255319148937,0.3617021276595745,0.1702127659574468,42.248246673556736,-2.66014999716338,38.23032476555947,91.23112334698837,90.74569651981813,-39.36644122743239,-39.36644122743239,0.0,0,0,0,0,0,0,0,0
C_00010,TIER_C_RANDOM_1E12,667238938363,REACHED_1,93,1,1900067133077,6,12,5,CRITICAL_FORBIDDEN_GRAMMAR,50,21,9,13,0.22580645161290322,0.27956989247311825,0.23655913978494625,0.25806451612903225,148.8675915187562,0.0,146.7972021908648,236.8340307435625,236.8340307435625,-39.27941252700402,-39.27941252700402,0.0,0,0,0,0,6,0,0,0
C_00011,TIER_C_RANDOM_1E12,386721108525,REACHED_1,62,1,386721108525,6,7,4,DEEP_FOLD,19,21,14,8,0.3387096774193548,0.1935483870967742,0.3548387096774194,0.11290322580645161,60.88333663646344,-0.4150374992813326,58.81294730857204,142.89403179080293,142.89403179080293,-38.49250255742713,-38.49250255742713,0.0,0,0,0,0,0,0,0,0
C_00012,TIER_C_RANDOM_1E12,901218888683,REACHED_1,101,1,2566361600981,5,10,5,CRITICAL_FORBIDDEN_GRAMMAR,55,18,11,17,0.1782178217821782,0.27722772277227725,0.27722772277227725,0.26732673267326734,164.70592403270382,0.0,160.68800212470654,259.55833648935356,259.07290966218335,-39.7130865951547,-39.7130865951547,0.0,0,0,0,0,5,0,0,0
C_00013,TIER_C_RANDOM_1E12,707609873469,REACHED_1,25,1,707609873469,2,6,3,DEEP_FOLD,5,8,5,7,0.32,0.12,0.48,0.08,5.754887502156066,-7.399377429792573,-7.399377429792573,34.991095489672425,31.53166387103513,-39.36416322223789,-39.36416322223789,0.0,0,0,0,0,0,0,0,0
C_00014,TIER_C_RANDOM_1E12,627435612903,REACHED_1,124,1,6030183187889,5,14,6,CRITICAL_FORBIDDEN_GRAMMAR,64,33,11,16,0.2661290322580645,0.24193548387096775,0.21774193548387097,0.27419354838709675,208.0842008571522,0.0,206.0138115292608,309.0789302804214,309.0789302804214,-39.190676461849755,-39.190676461849755,0.0,0,0,0,0,18,0,0,0
C_00015,TIER_C_RANDOM_1E12,739810901665,REACHED_1,98,1,739810901665,5,14,6,DEEP_FOLD,45,30,11,12,0.30612244897959184,0.22448979591836735,0.23469387755102042,0.23469387755102042,142.87247282805987,0.0,138.8545509200626,237.63442337395355,237.1489965467833,-39.428365603566164,-39.428365603566164,0.0,0,0,0,0,12,0,0,0
C_00016,TIER_C_RANDOM_1E12,114619864347,REACHED_1,130,1,7252063354673,7,11,5,CRITICAL_FORBIDDEN_GRAMMAR,73,28,13,16,0.2153846153846154,0.2230769230769231,0.2230769230769231,0.3384615384615385,260.64766241411854,0.0,256.6297405061213,375.4644794469946,374.97905261982436,-36.738066137693856,-36.738066137693856,0.0,0,0,0,0,14,0,0,0
C_00017,TIER_C_RANDOM_1E12,919054951579,REACHED_1,137,1,3489536769281,6,18,9,CRITICAL_FORBIDDEN_GRAMMAR,62,45,19,11,0.3284671532846715,0.24817518248175183,0.21897810218978103,0.20437956204379562,218.45980257677445,0.0,211.91915884754792,353.9202680719264,353.43484124475617,-39.74136016860542,-39.74136016860542,0.0,2,0,0,0,21,3,0,0
C_00018,TIER_C_RANDOM_1E12,880568243657,REACHED_1,96,1,1485958911173,10,12,4,CRITICAL_FORBIDDEN_GRAMMAR,54,17,6,19,0.17708333333333334,0.20833333333333334,0.2604166666666667,0.3541666666666667,215.22528433394132,0.0,209.84904443204778,295.0629552897399,295.0629552897399,-39.67964386039024,-39.67964386039024,0.0,0,0,0,0,10,0,0,0
C_00019,TIER_C_RANDOM_1E12,421064728729,REACHED_1,48,1,473697819821,4,4,3,DEEP_FOLD,16,15,7,10,0.3125,0.20833333333333334,0.3541666666666667,0.125,35.569107709398715,0.0,33.49871838150732,93.5390642317242,93.5390642317242,-38.61525107429301,-38.61525107429301,0.0,0,0,0,0,0,0,0,0
C_00020,TIER_C_RANDOM_1E12,979500933277,REACHED_1,99,1,979500933277,5,16,6,DEEP_FOLD,49,23,11,16,0.23232323232323232,0.23232323232323232,0.2727272727272727,0.26262626262626265,155.43762165142752,-0.41503749927982625,151.41969974343024,248.15013876132323,247.664711934153,-39.833255910866875,-39.833255910866875,0.0,0,0,0,0,16,1,0,0
C_00021,TIER_C_RANDOM_1E12,681412737745,REACHED_1,76,1,681412737745,5,11,5,DEEP_FOLD,39,13,13,11,0.17105263157894737,0.23684210526315788,0.3157894736842105,0.27631578947368424,120.0861980509331,0.0,118.0158087230417,200.10784405416817,200.10784405416817,-39.30973795995043,-39.30973795995043,0.0,0,0,0,0,7,0,0,0
C_00022,TIER_C_RANDOM_1E12,180789695887,REACHED_1,69,1,610165223621,6,8,4,CRITICAL_FORBIDDEN_GRAMMAR,32,15,11,11,0.21739130434782608,0.2318840579710145,0.3188405797101449,0.2318840579710145,102.97360066027193,0.0,100.90321133238052,173.96830165762398,173.96830165762398,-37.39552149741921,-37.39552149741921,0.0,0,0,0,0,1,0,0,0
C_00023,TIER_C_RANDOM_1E12,220215491145,REACHED_1,195,1,371613641309,9,18,9,CRITICAL_FORBIDDEN_GRAMMAR,109,51,20,15,0.26153846153846155,0.26153846153846155,0.1794871794871795,0.29743589743589743,387.6001234555493,0.0,383.5822015475521,557.3275749115486,556.8421480843783,-37.68012500318087,-37.68012500318087,0.0,2,0,0,0,51,5,0,0
C_00024,TIER_C_RANDOM_1E12,913613160487,REACHED_1,101,1,2312583312485,5,10,5,CRITICAL_FORBIDDEN_GRAMMAR,49,23,16,13,0.22772277227722773,0.2376237623762376,0.2871287128712871,0.24752475247524752,152.74518003036383,0.0,148.72725812236655,262.6017129468525,262.1162861196823,-39.732792476458876,-39.732792476458876,0.0,0,0,0,0,5,0,0,0
C_00025,TIER_C_RANDOM_1E12,942782531133,REACHED_1,53,1,942782531133,4,7,4,DEEP_FOLD,22,11,10,10,0.20754716981132076,0.2641509433962264,0.37735849056603776,0.1509433962264151,50.490721821911265,-0.4150374992798618,46.59007397018992,115.73214155671735,115.73214155671735,-39.77813407082459,-39.77813407082459,0.0,0,0,0,0,0,0,0,0
C_00026,TIER_C_RANDOM_1E12,322429658699,REACHED_1,71,1,483644488049,5,14,6,DEEP_FOLD,32,17,8,14,0.23943661971830985,0.22535211267605634,0.30985915492957744,0.22535211267605634,93.09407233432073,-2.735337503693266,89.07615042632347,169.8908229136062,169.40539608643596,-38.2301935000647,-38.2301935000647,0.0,0,0,0,0,10,0,0,0
C_00027,TIER_C_RANDOM_1E12,361954589131,REACHED_1,110,1,542931883697,5,16,6,DEEP_FOLD,52,34,11,13,0.3090909090909091,0.2636363636363636,0.21818181818181817,0.20909090909090908,165.86890877557857,0.0,161.8509868675813,266.5768172767938,266.0913904496236,-38.397017751718536,-38.397017751718536,0.0,0,0,0,0,18,1,0,0
C_00028,TIER_C_RANDOM_1E12,98918358197,REACHED_1,79,1,98918358197,5,9,6,DEEP_FOLD,35,24,10,10,0.3037974683544304,0.24050632911392406,0.25316455696202533,0.20253164556962025,103.78375885572555,-3.2451124980882504,101.71336952783415,182.81965415943966,182.81965415943966,-36.525519243588306,-36.525519243588306,0.0,0,0,0,0,2,0,0,0
C_00029,TIER_C_RANDOM_1E12,464306858473,REACHED_1,53,1,2823849119285,6,8,5,CRITICAL_FORBIDDEN_GRAMMAR,24,13,7,9,0.24528301886792453,0.20754716981132076,0.3018867924528302,0.24528301886792453,66.6169321352838,0.0,64.5465428073924,119.61609186077006,119.61609186077006,-38.75628763548164,-38.75628763548164,0.0,0,0,0,0,1,0,0,0
C_00030,TIER_C_RANDOM_1E12,424591906563,REACHED_1,125,1,636887859845,6,16,6,DEEP_FOLD,62,31,19,13,0.248,0.224,0.256,0.272,215.65275051865567,0.0,211.6348286106584,348.36754681635284,347.8821199891826,-38.627285915068555,-38.627285915068555,0.0,0,0,0,0,15,1,0,0
C_00031,TIER_C_RANDOM_1E12,213694394887,REACHED_1,125,1,12490817427953,12,19,4,CRITICAL_FORBIDDEN_GRAMMAR,71,27,12,15,0.216,0.2,0.216,0.368,328.72977407307775,0.0,326.6593847451864,427.7247543729908,427.7247543729908,-37.63675811097827,-37.63675811097827,0.0,0,0,0,0,28,8,0,0
C_00032,TIER_C_RANDOM_1E12,282673891293,REACHED_1,123,1,2205526451645,8,13,5,DEEP_FOLD,66,30,16,11,0.24390243902439024,0.22764227642276422,0.21951219512195122,0.3089430894308943,246.34974737198516,-0.4150374992822421,238.93189485709925,364.3417604085705,358.9154956538684,-38.04034768093934,-38.04034768093934,0.0,0,0,0,0,14,0,0,0
C_00033,TIER_C_RANDOM_1E12,200467836535,REACHED_1,67,1,451052632205,6,12,8,CRITICAL_FORBIDDEN_GRAMMAR,30,20,5,12,0.29850746268656714,0.2537313432835821,0.2537313432835821,0.19402985074626866,86.76326489268182,0.0,84.69287556479041,145.7746937479392,145.7746937479392,-37.54457983009866,-37.54457983009866,0.0,1,0,0,0,8,0,0,0
C_00034,TIER_C_RANDOM_1E12,134878448267,REACHED_1,80,1,202317672401,5,14,6,DEEP_FOLD,39,17,13,11,0.2125,0.2375,0.3,0.25,120.37326034234626,0.0,116.355338434349,208.16065344861593,207.6752266214457,-36.97286888750844,-36.97286888750844,0.0,0,0,0,0,10,0,0,0
C_00035,TIER_C_RANDOM_1E12,176135136731,REACHED_1,52,1,445842064853,4,18,4,CRITICAL_FORBIDDEN_GRAMMAR,22,16,5,9,0.3076923076923077,0.25,0.2692307692307692,0.17307692307692307,61.81353347253663,0.0,48.99478182227172,99.10175793735226,99.10175793735226,-37.35789178104518,-37.35789178104518,0.0,0,0,0,0,11,3,0,0
C_00036,TIER_C_RANDOM_1E12,393642303037,REACHED_1,35,1,393642303037,4,5,3,DEEP_FOLD,17,3,6,9,0.08571428571428572,0.2571428571428571,0.42857142857142855,0.22857142857142856,31.87513945626197,-0.41503749928128997,24.457286941376072,70.86770311130732,65.44143835660522,-38.518094312970256,-38.518094312970256,0.0,0,0,0,0,0,0,0,0
C_00037,TIER_C_RANDOM_1E12,295939285407,REACHED_1,78,1,1685466711425,4,10,5,CRITICAL_FORBIDDEN_GRAMMAR,36,16,18,8,0.20512820512820512,0.23076923076923078,0.3333333333333333,0.23076923076923078,108.19080619793175,0.0,106.12041687004034,202.19488780102444,202.19488780102444,-38.10651026817324,-38.10651026817324,0.0,0,0,0,0,3,0,0,0
C_00038,TIER_C_RANDOM_1E12,383563041273,REACHED_1,120,1,1312186815245,5,17,11,CRITICAL_FORBIDDEN_GRAMMAR,57,40,8,15,0.3333333333333333,0.3,0.19166666666666668,0.175,171.65208096629206,0.0,169.58169163840066,267.61044172032257,267.61044172032257,-38.48067275801446,-38.48067275801446,0.0,4,0,0,0,23,2,0,0
C_00039,TIER_C_RANDOM_1E12,672196241063,REACHED_1,93,1,1914183827093,4,8,6,CRITICAL_FORBIDDEN_GRAMMAR,47,20,17,9,0.21505376344086022,0.27956989247311825,0.27956989247311825,0.22580645161290322,132.8887019726959,0.0,130.8183126448045,231.84102461277945,231.84102461277945,-39.290091518845266,-39.290091518845266,0.0,0,0,0,0,1,0,0,0
C_00040,TIER_C_RANDOM_1E12,79992081677,REACHED_1,76,1,79992081677,4,10,6,DEEP_FOLD,31,23,12,10,0.3026315789473684,0.2631578947368421,0.2894736842105263,0.14473684210526316,87.91396154168098,-1.8300749986017735,85.84357221378957,173.8722452106829,173.8722452106829,-36.21913814523967,-36.21913814523967,0.0,0,0,0,0,6,0,0,0
C_00041,TIER_C_RANDOM_1E12,483807531517,REACHED_1,70,1,1377717540929,6,9,3,DEEP_FOLD,36,12,10,12,0.17142857142857143,0.2571428571428571,0.3142857142857143,0.2571428571428571,110.5687112755888,-0.4150374992808352,108.49832194769739,182.59003693751492,182.59003693751492,-38.81564227194127,-38.81564227194127,0.0,0,0,0,0,2,0,0,0
C_00042,TIER_C_RANDOM_1E12,556133711197,REACHED_1,56,1,556133711197,2,7,7,DEEP_FOLD,21,16,8,11,0.2857142857142857,0.30357142857142855,0.3392857142857143,0.07142857142857142,43.66029418164512,-0.4150374992805794,41.33183166728901,107.43590825905528,107.43590825905528,-39.01664083550286,-39.016640835502855,-7.105427357601002e-15,0,0,0,0,0,0,0,0
C_00043,TIER_C_RANDOM_1E12,480101580021,REACHED_1,118,1,480101580021,5,10,5,DEEP_FOLD,66,21,16,15,0.17796610169491525,0.2627118644067797,0.2627118644067797,0.2966101694915254,208.72166403767977,-2.4150374992808423,204.7037421296825,318.62172702172484,318.1363001945546,-38.804548727694815,-38.80454872769482,7.105427357601002e-15,0,0,0,0,5,0,0,0
C_00044,TIER_C_RANDOM_1E12,646688375229,REACHED_1,90,1,3933067895765,4,16,10,DEEP_FOLD,44,24,11,11,0.26666666666666666,0.2777777777777778,0.24444444444444444,0.2111111111111111,131.96592909247303,-0.41503749928033074,125.42528536324652,213.42557575139074,212.9401489242205,-39.234279720715186,-39.234279720715186,0.0,3,0,0,0,21,1,0,0
C_00045,TIER_C_RANDOM_1E12,60012747335,REACHED_1,48,1,135028681505,3,6,4,CRITICAL_FORBIDDEN_GRAMMAR,19,13,5,11,0.2708333333333333,0.2708333333333333,0.3333333333333333,0.125,47.39846801784286,0.0,37.86054842027168,91.87005305520253,91.38462622803229,-35.80454992565614,-35.80454992565614,0.0,0,0,0,0,0,0,0,0
C_00046,TIER_C_RANDOM_1E12,977239528179,REACHED_1,99,1,16924855822865,7,9,6,DEEP_FOLD,51,20,16,12,0.20202020202020202,0.26262626262626265,0.2828282828282828,0.25252525252525254,160.49024318417378,0.0,158.41985385628237,262.51518780211785,262.51518780211785,-39.82992126384842,-39.82992126384841,-7.105427357601002e-15,0,0,0,0,3,0,0,0
C_00047,TIER_C_RANDOM_1E12,39776185631,REACHED_1,95,1,201366939761,7,10,5,CRITICAL_FORBIDDEN_GRAMMAR,54,17,13,11,0.17894736842105263,0.24210526315789474,0.25263157894736843,0.3263157894736842,181.17283955077792,0.0,177.15491764278065,278.9895192207729,278.50409239360266,-35.21118588328842,-35.21118588328842,0.0,0,0,0,0,5,0,0,0
C_00048,TIER_C_RANDOM_1E12,700573381145,REACHED_1,93,1,788145053789,5,16,6,DEEP_FOLD,47,20,16,10,0.21505376344086022,0.25806451612903225,0.27956989247311825,0.24731182795698925,141.9412455362479,-4.9052624952317245,137.9233236282506,249.6786924986727,249.19326567150245,-39.34974521657172,-39.34974521657172,0.0,0,0,0,0,12,1,0,0
C_00049,TIER_C_RANDOM_1E12,172234307227,REACHED_1,112,1,735696152165,4,13,7,CRITICAL_FORBIDDEN_GRAMMAR,50,36,15,11,0.32142857142857145,0.21428571428571427,0.23214285714285715,0.23214285714285715,168.23436086201306,0.0,164.21643895401579,277.15198339650874,276.6665565693385,-37.32558158450102,-37.32558158450102,0.0,0,0,0,0,11,0,0,0
C_00050,TIER_C_RANDOM_1E12,927360172163,REACHED_1,101,1,1391040258245,6,11,6,DEEP_FOLD,55,18,11,17,0.1782178217821782,0.25742574257425743,0.27722772277227725,0.2871287128712871,182.78814250630685,-0.24511249784195144,178.77022059830958,284.703216730206,284.2177899030358,-39.75433881160262,-39.75433881160262,0.0,0,0,0,0,8,0,0,0
C_00051,TIER_C_RANDOM_1E12,728914314741,REACHED_1,69,1,728914314741,6,11,7,DEEP_FOLD,34,17,7,11,0.2463768115942029,0.18840579710144928,0.2608695652173913,0.30434782608695654,113.67324560719337,-2.41503749928016,109.92601974379305,181.0157247979604,181.0157247979604,-39.40695827674434,-39.40695827674434,0.0,0,0,0,0,4,0,0,0
C_00052,TIER_C_RANDOM_1E12,295811238177,REACHED_1,107,1,295811238177,7,12,5,DEEP_FOLD,52,30,13,12,0.2803738317757009,0.21495327102803738,0.2336448598130841,0.27102803738317754,180.0887035213656,0.0,178.0183141934742,289.06547692308476,289.06547692308476,-38.10588590672617,-38.10588590672617,0.0,0,0,0,0,9,0,0,0
C_00053,TIER_C_RANDOM_1E12,822181530765,REACHED_1,50,1,822181530765,5,10,6,DEEP_FOLD,23,10,6,11,0.2,0.24,0.34,0.22,54.94155399254304,-11.490224998752169,50.92363208454578,111.83926821039648,111.35384138322624,-39.58066600776571,-39.58066600776571,0.0,0,0,0,0,5,0,0,0
C_00054,TIER_C_RANDOM_1E12,647641868669,REACHED_1,119,1,819671740037,7,10,6,DEEP_FOLD,62,26,17,14,0.2184873949579832,0.2689075630252101,0.2605042016806723,0.25210084033613445,203.3402071363477,-0.41503749928033074,199.3222852283504,324.26085253087797,323.77542570370775,-39.23640529958153,-39.23640529958153,0.0,0,0,0,0,6,0,0,0
C_00055,TIER_C_RANDOM_1E12,209011713657,REACHED_1,48,1,396795675149,2,6,4,CRITICAL_FORBIDDEN_GRAMMAR,16,13,9,10,0.2708333333333333,0.22916666666666666,0.3958333333333333,0.10416666666666667,32.54842045595011,0.0,30.47803112805871,93.5118692219081,93.5118692219081,-37.60479284138443,-37.60479284138443,0.0,0,0,0,0,0,0,0,0
C_00056,TIER_C_RANDOM_1E12,378250148269,REACHED_1,50,1,378250148269,5,13,7,DEEP_FOLD,19,15,5,11,0.3,0.2,0.32,0.18,48.76931404133332,-3.5654125032102897,46.69892471344192,98.8049913336264,98.8049913336264,-38.460549691720274,-38.460549691720274,0.0,0,0,0,0,6,0,0,0
C_00057,TIER_C_RANDOM_1E12,977971479207,REACHED_1,58,1,2784926595089,6,8,6,CRITICAL_FORBIDDEN_GRAMMAR,26,8,12,12,0.13793103448275862,0.22413793103448276,0.41379310344827586,0.22413793103448276,71.54079733333612,0.0,69.47040800544471,140.54127003392344,140.54127003392344,-39.83100143592561,-39.83100143592561,0.0,0,0,0,0,1,0,0,0
C_00058,TIER_C_RANDOM_1E12,254174456789,REACHED_1,70,1,254174456789,5,10,5,DEEP_FOLD,35,16,7,12,0.22857142857142856,0.24285714285714285,0.2714285714285714,0.2571428571428571,101.65200909903642,-4.415037499282633,97.63408719103916,170.56181958591787,170.07639275874763,-37.88702809803995,-37.88702809803995,0.0,0,0,0,0,3,0,0,0
C_00059,TIER_C_RANDOM_1E12,409000043763,REACHED_1,62,1,613500065645,4,10,7,DEEP_FOLD,29,15,6,12,0.24193548387096775,0.25806451612903225,0.2903225806451613,0.20967741935483872,75.98544294192648,0.0,71.96752103392922,137.9024226621277,137.41699583495745,-38.57331004129637,-38.573310041296374,7.105427357601002e-15,0,0,0,0,4,0,0,0
C_00060,TIER_C_RANDOM_1E12,144647056897,REACHED_1,90,1,154464410861,5,12,6,CRITICAL_FORBIDDEN_GRAMMAR,40,26,16,8,0.28888888888888886,0.25555555555555554,0.26666666666666666,0.18888888888888888,127.18421404688877,0.0,125.11382471899736,224.15160982249645,224.15160982249645,-37.073746013116995,-37.073746013116995,0.0,0,0,0,0,5,0,0,0
C_00061,TIER_C_RANDOM_1E12,845131931355,REACHED_1,84,1,2139240201245,6,17,4,CRITICAL_FORBIDDEN_GRAMMAR,38,23,13,10,0.27380952380952384,0.21428571428571427,0.27380952380952384,0.23809523809523808,125.7466417111857,0.0,123.6762523832943,213.74167999010078,213.74167999010078,-39.62038561811952,-39.62038561811952,0.0,0,0,0,0,11,2,0,0
C_00062,TIER_C_RANDOM_1E12,682290083107,REACHED_1,81,1,1023435124661,4,10,4,DEEP_FOLD,33,25,12,11,0.30864197530864196,0.24691358024691357,0.2839506172839506,0.16049382716049382,94.87305584988904,0.0,92.80266652199764,183.82936971414028,183.82936971414028,-39.31159429104865,-39.31159429104865,0.0,0,0,0,0,3,0,0,0
C_00063,TIER_C_RANDOM_1E12,367657328331,REACHED_1,105,1,883373925005,6,8,4,DEEP_FOLD,59,16,13,17,0.1523809523809524,0.23809523809523808,0.2857142857142857,0.3238095238095238,201.13812873408355,0.0,197.12020682608627,298.0561985137797,297.5707716866095,-38.41957078549751,-38.419570785497505,-7.105427357601002e-15,0,0,0,0,1,0,0,0
C_00064,TIER_C_RANDOM_1E12,872049128561,REACHED_1,84,1,872049128561,5,10,5,DEEP_FOLD,47,16,7,14,0.19047619047619047,0.25,0.25,0.30952380952380953,135.77783827255905,-5.83007499856026,131.75991636456178,209.64117499962387,209.15574817245363,-39.66561845804618,-39.66561845804618,0.0,0,0,0,0,8,0,0,0
C_00065,TIER_C_RANDOM_1E12,295806104039,REACHED_1,90,1,1599156613541,5,14,6,CRITICAL_FORBIDDEN_GRAMMAR,47,18,14,11,0.2,0.25555555555555554,0.2777777777777778,0.26666666666666666,140.18840400255579,0.0,136.1704820945585,238.92704254628654,238.4416157191163,-38.10586086690768,-38.10586086690768,0.0,0,0,0,0,10,0,0,0
C_00066,TIER_C_RANDOM_1E12,357966021749,REACHED_1,119,1,11324355878933,10,28,8,DEEP_FOLD,59,37,14,9,0.31092436974789917,0.2689075630252101,0.19327731092436976,0.226890756302521,220.01154544550766,-2.4150374992815244,212.59369293062176,325.9972884141376,320.57102365943547,-38.38103169666769,-38.38103169666769,0.0,1,0,0,0,34,13,0,0
C_00067,TIER_C_RANDOM_1E12,185730004423,REACHED_1,74,1,417892509953,5,12,5,CRITICAL_FORBIDDEN_GRAMMAR,31,20,14,9,0.2702702702702703,0.25675675675675674,0.3108108108108108,0.16216216216216217,89.82732277923142,0.0,87.75693345134002,179.79922121315934,179.79922121315934,-37.434415943232395,-37.434415943232395,0.0,0,0,0,0,5,0,0,0
C_00068,TIER_C_RANDOM_1E12,933922747855,REACHED_1,118,1,19169956189421,5,13,6,CRITICAL_FORBIDDEN_GRAMMAR,58,32,13,15,0.2711864406779661,0.2711864406779661,0.23728813559322035,0.22033898305084745,179.6419490012477,0.0,175.62402709325042,288.4590554071866,287.9736285800164,-39.76451226190163,-39.76451226190163,0.0,0,0,0,0,17,0,0,0
C_00069,TIER_C_RANDOM_1E12,701848533957,REACHED_1,57,1,701848533957,3,8,3,DEEP_FOLD,23,13,10,11,0.22807017543859648,0.2631578947368421,0.3684210526315789,0.14035087719298245,51.837302710399086,-4.660149997409906,49.76691338250769,122.80354981588734,122.80354981588734,-39.352368759637336,-39.352368759637336,0.0,0,0,0,0,1,0,0,0
C_00070,TIER_C_RANDOM_1E12,629912614089,REACHED_1,47,1,1062977536277,4,7,3,CRITICAL_FORBIDDEN_GRAMMAR,18,14,5,10,0.2978723404255319,0.23404255319148937,0.3191489361702128,0.14893617021276595,38.473654234361504,-0.7353374952028524,35.9062527730029,85.96974745720891,85.96974745720891,-39.19636074544531,-39.19636074544531,0.0,0,0,0,0,0,0,0,0
C_00071,TIER_C_RANDOM_1E12,580581590093,REACHED_1,97,1,580581590093,5,10,5,DEEP_FOLD,53,18,11,15,0.18556701030927836,0.25773195876288657,0.26804123711340205,0.28865979381443296,164.41743079698375,-0.8300749985637665,160.39950888898647,255.3095328433498,254.82410601617957,-39.0787078694241,-39.0787078694241,0.0,0,0,0,0,5,0,0,0
C_00072,TIER_C_RANDOM_1E12,552130529365,REACHED_1,41,1,552130529365,5,9,4,DEEP_FOLD,17,10,5,9,0.24390243902439024,0.24390243902439024,0.34146341463414637,0.17073170731707318,39.38071542031421,-5.660149997596097,31.962862905428313,83.36791697506125,77.94165222035915,-39.00621841910886,-39.00621841910886,0.0,0,0,0,0,2,0,0,0
C_00073,TIER_C_RANDOM_1E12,385091692193,REACHED_1,115,1,385091692193,10,11,8,DEEP_FOLD,59,26,16,14,0.22608695652173913,0.23478260869565218,0.2608695652173913,0.2782608695652174,229.88020505972844,0.0,227.80981573183703,343.87465623150683,343.87465623150683,-38.48641104313259,-38.48641104313259,0.0,1,0,0,0,8,0,0,0
C_00074,TIER_C_RANDOM_1E12,796647120367,REACHED_1,108,1,9323604075149,8,10,6,CRITICAL_FORBIDDEN_GRAMMAR,57,24,12,15,0.2222222222222222,0.2222222222222222,0.25,0.3055555555555556,221.70183347642322,0.0,219.6314441485318,321.77929873351144,321.77929873351144,-39.53514985902584,-39.53514985902584,0.0,0,0,0,0,8,0,0,0
